area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_cleaned,bhk,price_per_sqft,price_in_lakhs
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,,4000,3.0,2.0,750.0,4000.0,4,18750.0,75000000.0
Super built-up  Area,Ready To Move,Giri Nagar,6 BHK,,1200,3.0,0.0,175.0,1200.0,6,14583.333333333334,17500000.0
Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,,1350,3.0,3.0,195.0,1350.0,3,14444.444444444445,19500000.0
Plot  Area,Ready To Move,Gkvk Layout,3 Bedroom,,1200,4.0,2.0,180.0,1200.0,3,15000.0,18000000.0
Carpet  Area,Ready To Move,Gokula Extension,3 BHK,,1372,2.0,1.0,90.0,1372.0,3,6559.766763848396,9000000.0
Super built-up  Area,Ready To Move,Gokula Extension,3 BHK,,1400,3.0,2.0,90.0,1400.0,3,6428.571428571428,9000000.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2023.71,3.0,2.0,275.0,2023.71,3,13588.903548433324,27500000.0
Super built-up  Area,18-Dec,Gopalapura,4 BHK,Sothadr,3179,5.0,3.0,351.0,3179.0,4,11041.207927021076,35100000.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,1950.2,3.0,2.0,261.0,1950.2,3,13383.242744333915,26100000.0
Super built-up  Area,19-Mar,Gopalapura,3 BHK,Sothadr,2171.66,3.0,2.0,298.0,2171.66,3,13722.221710580847,29800000.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1165,2.0,2.0,75.0,1165.0,2,6437.768240343347,7500000.0
Built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,,1280,2.0,1.0,75.0,1280.0,2,5859.375,7500000.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,1530,2.0,1.0,97.0,1530.0,3,6339.869281045751,9700000.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1155,2.0,1.0,65.0,1155.0,2,5627.705627705628,6500000.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,1570,2.0,2.0,95.0,1570.0,3,6050.955414012738,9500000.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,2 BHK,MJarlPe,1155,2.0,1.0,64.0,1155.0,2,5541.1255411255415,6400000.0
Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1.0,0.0,26.0,812.0,1,3201.9704433497536,2600000.0
Plot  Area,Ready To Move,Gottigere,1 Bedroom,,812,1.0,1.0,26.0,812.0,1,3201.9704433497536,2600000.0
Super built-up  Area,Ready To Move,Govindapura,2 BHK,AbarkVa,1310,2.0,1.0,88.0,1310.0,2,6717.557251908397,8800000.0
Plot  Area,Ready To Move,Govindaraja Nagar Ward,5 Bedroom,,2600,5.0,3.0,370.0,2600.0,5,14230.76923076923,37000000.0
Plot  Area,Ready To Move,Gowdanapalya,8 Bedroom,,1200,8.0,2.0,190.0,1200.0,8,15833.333333333334,19000000.0
Plot  Area,Ready To Move,Gowdanapalya,2 Bedroom,,600,2.0,2.0,39.0,600.0,2,6500.0,3900000.0
Built-up  Area,Ready To Move,Gowdanapalya,1 Bedroom,,510,1.0,0.0,34.0,510.0,1,6666.666666666667,3400000.0
Super built-up  Area,Ready To Move,Green Domain Layout,3 BHK,,2100,3.0,3.0,170.0,2100.0,3,8095.238095238095,17000000.0
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1670,3.0,2.0,120.0,1670.0,3,7185.62874251497,12000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3250,4.0,3.0,230.0,3250.0,4,7076.923076923077,23000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0,1776.42,3,5910.764346269463,10500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3250,4.0,,230.0,3250.0,4,7076.923076923077,23000000.0
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Mazzo P,940,2.0,1.0,56.8,940.0,2,6042.553191489362,5680000.0
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,Blisera,1075,2.0,1.0,60.0,1075.0,2,5581.395348837209,6000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1715,3.0,2.0,115.0,1715.0,3,6705.539358600583,11500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,2.0,1.0,115.0,1751.0,3,6567.6756139348945,11500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1750,3.0,2.0,130.0,1750.0,3,7428.571428571428,13000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1530,3.0,2.0,105.0,1530.0,3,6862.745098039216,10500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1752,3.0,2.0,105.0,1752.0,3,5993.1506849315065,10500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,VVbhion,1680,4.0,3.0,95.0,1680.0,3,5654.761904761905,9500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1728,3.0,2.0,125.0,1728.0,3,7233.7962962962965,12500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1645,3.0,2.0,110.0,1645.0,3,6686.930091185411,11000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soinequ,1517,3.0,3.0,100.0,1517.0,3,6591.957811470006,10000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,,3150,4.0,3.0,218.0,3150.0,4,6920.6349206349205,21800000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1750,3.0,2.0,120.0,1750.0,3,6857.142857142857,12000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1751,3.0,2.0,115.0,1751.0,3,6567.6756139348945,11500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1750,3.0,2.0,105.0,1750.0,3,6000.0,10500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Sortz Q,1885,3.0,2.0,135.0,1885.0,3,7161.803713527852,13500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3.0,3.0,120.0,1715.0,3,6997.084548104956,12000000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1623.29,2.0,2.0,105.0,1623.29,3,6468.345150897252,10500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1715,3.0,3.0,115.0,1715.0,3,6705.539358600583,11500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3.0,2.0,105.0,1715.0,3,6122.448979591837,10500000.0
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soionar,1600,3.0,3.0,105.0,1600.0,3,6562.5,10500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Soweray,1717,3.0,3.0,125.0,1717.0,3,7280.139778683751,12500000.0
Built-up  Area,Ready To Move,Green Glen Layout,2 BHK,,1250,2.0,0.0,75.0,1250.0,2,6000.0,7500000.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,SoosePr,1715,3.0,3.0,112.0,1715.0,3,6530.6122448979595,11200000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1470,2.0,2.0,82.0,1470.0,3,5578.231292517007,8200000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,125.0,1745.0,3,7163.323782234957,12500000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,104.0,1745.0,3,5959.885386819485,10400000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,115.0,1745.0,3,6590.25787965616,11500000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,110.0,1745.0,3,6303.7249283667625,11000000.0
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1205,2.0,2.0,70.0,1205.0,2,5809.128630705394,7000000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1435,2.0,2.0,80.0,1435.0,3,5574.912891986062,8000000.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,2000,3.0,3.0,125.0,2000.0,3,6250.0,12500000.0
Built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,130.0,1745.0,3,7449.856733524355,13000000.0
Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1285,2.0,2.0,90.0,1285.0,2,7003.8910505836575,9000000.0
Plot  Area,Ready To Move,Guddadahalli,4 Bedroom,,1350,4.0,2.0,140.0,1350.0,4,10370.37037037037,14000000.0
Super built-up  Area,Ready To Move,Guni Agrahara,3 BHK,,1200,2.0,2.0,120.0,1200.0,3,10000.0,12000000.0
Super built-up  Area,Ready To Move,Gunjur,3 BHK,MyhtsHe,1588,2.0,3.0,90.0,1588.0,3,5667.506297229219,9000000.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,MamalPr,1490,2.0,2.0,300.0,1490.0,3,20134.228187919463,30000000.0
Plot  Area,17-Dec,HAL 2nd Stage,2 Bedroom,,600,3.0,2.0,145.0,600.0,2,24166.666666666668,14500000.0
Plot  Area,Ready To Move,HAL 2nd Stage,3 Bedroom,,2700,3.0,0.0,500.0,2700.0,3,18518.51851851852,50000000.0
Plot  Area,Ready To Move,HAL 2nd Stage,7 Bedroom,,1000,7.0,3.0,250.0,1000.0,7,25000.0,25000000.0
Plot  Area,Ready To Move,HAL 2nd Stage,4 Bedroom,,2280,4.0,2.0,615.0,2280.0,4,26973.684210526317,61500000.0
Plot  Area,Ready To Move,HAL 2nd Stage,8 Bedroom,,1000,7.0,3.0,260.0,1000.0,8,26000.0,26000000.0
Plot  Area,Ready To Move,HAL 2nd Stage,5 Bedroom,,2040,4.0,1.0,500.0,2040.0,5,24509.803921568626,50000000.0
Plot  Area,Ready To Move,HAL 3rd Stage,3 Bedroom,,1865,3.0,3.0,350.0,1865.0,3,18766.756032171583,35000000.0
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,675,3.0,1.0,59.0,675.0,4,8740.74074074074,5900000.0
Built-up  Area,Ready To Move,HBR Layout,3 BHK,Peentn ,2800,2.0,0.0,200.0,2800.0,3,7142.857142857143,20000000.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Gats He,1722,3.0,,95.0,1722.0,3,5516.8408826945415,9500000.0
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,1200,4.0,0.0,120.0,1200.0,4,10000.0,12000000.0
Built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1783,3.0,2.0,125.0,1783.0,3,7010.656197420079,12500000.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,HMtesle,1656,3.0,2.0,90.0,1656.0,3,5434.782608695652,9000000.0
Plot  Area,16-Mar,HBR Layout,4 Bedroom,,2400,5.0,0.0,320.0,2400.0,4,13333.333333333334,32000000.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Visom B,1700,3.0,1.0,110.0,1700.0,3,6470.588235294118,11000000.0
Plot  Area,Ready To Move,HBR Layout,4 Bedroom,,1200,4.0,2.0,115.0,1200.0,4,9583.333333333334,11500000.0
Plot  Area,Ready To Move,HBR Layout,3 Bedroom,,1800,2.0,1.0,230.0,1800.0,3,12777.777777777777,23000000.0
Built-up  Area,Ready To Move,HBR Layout,2 Bedroom,,1200,2.0,0.0,120.0,1200.0,2,10000.0,12000000.0
Super built-up  Area,Ready To Move,HBR Layout,3 BHK,Giersin,1832,3.0,2.0,160.0,1832.0,3,8733.624454148472,16000000.0
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,,2000,4.0,1.0,300.0,2000.0,4,15000.0,30000000.0
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Eline P,1374,2.0,2.0,95.0,1374.0,2,6914.1193595342065,9500000.0
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1440,2.0,2.0,98.0,1440.0,2,6805.555555555556,9800000.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1567,3.0,3.0,90.0,1567.0,3,5743.458838544991,9000000.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,VDenaWa,2800,3.0,2.0,250.0,2800.0,3,8928.57142857143,25000000.0
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1210,2.0,1.0,75.0,1210.0,2,6198.347107438017,7500000.0
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,,1200,2.0,1.0,170.0,1200.0,4,14166.666666666666,17000000.0
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,Srayatr,1265,2.0,1.0,78.0,1265.0,2,6166.00790513834,7800000.0
Plot  Area,Ready To Move,HRBR Layout,4 Bedroom,,1200,3.0,1.0,180.0,1200.0,4,15000.0,18000000.0
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,,1170,2.0,2.0,75.0,1170.0,2,6410.25641025641,7500000.0
Built-up  Area,Ready To Move,HRBR Layout,3 BHK,Fleepi ,1335,2.0,1.0,87.0,1335.0,3,6516.853932584269,8700000.0
Super built-up  Area,Ready To Move,HRBR Layout,3 BHK,,1625,3.0,2.0,120.0,1625.0,3,7384.615384615385,12000000.0
Super built-up  Area,21-Dec,HRBR Layout,2 BHK,,1301,2.0,1.0,120.0,1301.0,2,9223.674096848577,12000000.0
Super built-up  Area,Ready To Move,HRBR Layout,2 BHK,,1145,2.0,2.0,68.5,1145.0,2,5982.532751091703,6850000.0
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Vaaveeh,1300,2.0,3.0,90.0,1300.0,2,6923.076923076923,9000000.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Klort C,1750,3.0,2.0,95.0,1750.0,3,5428.571428571428,9500000.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Brstark,1650,3.0,2.0,110.0,1650.0,3,6666.666666666667,11000000.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1127,2.0,1.0,68.0,1127.0,2,6033.717834960071,6800000.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,RotatHa,1600,2.0,2.0,115.0,1600.0,3,7187.5,11500000.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2.0,2.0,56.0,1009.0,2,5550.049554013875,5600000.0
Built-up  Area,Ready To Move,HSR Layout,4 Bedroom,Rocid P,2792,4.0,1.0,220.0,2792.0,4,7879.656160458453,22000000.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,AdadeEs,1300,2.0,2.0,98.0,1300.0,2,7538.461538461538,9800000.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1126,2.0,1.0,69.0,1126.0,2,6127.886323268206,6900000.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Siestr ,1142,2.0,2.0,65.0,1142.0,2,5691.768826619965,6500000.0
Built-up  Area,Ready To Move,HSR Layout,5 Bedroom,,3500,5.0,0.0,350.0,3500.0,5,10000.0,35000000.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,PuontFa,2020,3.0,2.0,160.0,2020.0,3,7920.792079207921,16000000.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,SrisePo,1844,3.0,3.0,95.0,1844.0,3,5151.843817787419,9500000.0
Plot  Area,Ready To Move,HSR Layout,4 Bedroom,,2500,4.0,3.0,300.0,2500.0,4,12000.0,30000000.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,VaiewV ,1203,2.0,2.0,72.0,1203.0,2,5985.037406483791,7200000.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2.0,2.0,56.0,1009.0,2,5550.049554013875,5600000.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,PuontFa,1590,2.0,2.0,135.0,1590.0,3,8490.566037735849,13500000.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,,1120,2.0,1.0,70.0,1120.0,2,6250.0,7000000.0
Plot  Area,Ready To Move,Hadosiddapura,3 Bedroom,JRichee,1200,3.0,2.0,165.0,1200.0,3,13750.0,16500000.0
Super built-up  Area,Ready To Move,Hanumantha Nagar,8 BHK,,3300,8.0,3.0,310.0,3300.0,8,9393.939393939394,31000000.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,1240.0,2,5645.1612903225805,7000000.0
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,2650,4.0,2.0,198.0,2650.0,4,7471.698113207547,19800000.0
Built-up  Area,18-Mar,Haralur Road,4 BHK,SNnia E,3385,5.0,,260.0,3385.0,4,7680.945347119646,26000000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,61.0,1056.0,2,5776.515151515152,6100000.0
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1810,3.0,2.0,100.0,1810.0,3,5524.861878453039,10000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1920,3.0,1.0,115.0,1920.0,3,5989.583333333333,11500000.0
Super built-up  Area,18-May,Haralur Road,3 BHK,SNnia E,1875,3.0,2.0,110.0,1875.0,3,5866.666666666667,11000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,3.0,2.0,125.0,2017.0,3,6197.322756569162,12500000.0
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1875,3.0,3.0,110.0,1875.0,3,5866.666666666667,11000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2475,4.0,,130.0,2475.0,3,5252.525252525253,13000000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,73.0,1300.0,2,5615.384615384615,7300000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,RBersll,1850,3.0,,110.0,1850.0,3,5945.945945945946,11000000.0
Super built-up  Area,Ready To Move,Haralur Road,4 BHK,SoronSa,3400,5.0,3.0,240.0,3400.0,4,7058.823529411765,24000000.0
Super built-up  Area,18-Aug,Haralur Road,2 BHK,SNnia E,1230,2.0,1.0,78.0,1230.0,2,6341.463414634146,7800000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,79.0,1300.0,2,6076.923076923077,7900000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,1444,2.0,1.0,80.0,1444.0,3,5540.16620498615,8000000.0
Built-up  Area,Ready To Move,Haralur Road,2 BHK,,1088,2.0,1.0,68.0,1088.0,2,6250.0,6800000.0
Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,70.0,1225.0,2,5714.285714285715,7000000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Ozensve,1000,2.0,1.0,78.0,1000.0,2,7800.0,7800000.0
Super built-up  Area,18-Dec,Haralur Road,3 BHK,SNnia E,1830,3.0,2.0,101.0,1830.0,3,5519.12568306011,10100000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,SNnia E,1810,3.0,2.0,126.0,1810.0,3,6961.325966850829,12600000.0
Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,96.0,1520.0,3,6315.789473684211,9600000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,75.0,1300.0,2,5769.2307692307695,7500000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,2.0,2.0,125.0,2017.0,3,6197.322756569162,12500000.0
Built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,3.0,2.0,105.0,2017.0,3,5205.751115518096,10500000.0
Super built-up  Area,18-Mar,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,90.0,1520.0,3,5921.0526315789475,9000000.0
Super built-up  Area,18-Dec,Haralur Road,3 BHK,NDiteio,1985,3.0,2.0,130.0,1985.0,3,6549.11838790932,13000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,2.0,1.0,90.0,1255.0,3,7171.314741035857,9000000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,60.0,1056.0,2,5681.818181818182,6000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Grterrr,1560,3.0,1.0,90.0,1560.0,3,5769.2307692307695,9000000.0
Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,85.0,1520.0,3,5592.105263157895,8500000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1650,3.0,3.0,100.0,1650.0,3,6060.606060606061,10000000.0
Super built-up  Area,18-Aug,Haralur Road,3 BHK,SNnia E,1520,2.0,2.0,96.0,1520.0,3,6315.789473684211,9600000.0
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1510,3.0,2.0,83.05,1510.0,3,5500.0,8305000.0
Built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2.0,1.0,65.0,1056.0,2,6155.30303030303,6500000.0
Super built-up  Area,18-Aug,Haralur Road,3 BHK,SNnia E,1810,3.0,2.0,100.0,1810.0,3,5524.861878453039,10000000.0
Super built-up  Area,18-Mar,Haralur Road,1 BHK,SNnia E,575,1.0,1.0,38.0,575.0,1,6608.695652173913,3800000.0
Super built-up  Area,18-Apr,Haralur Road,3 BHK,SNnia E,1850,3.0,2.0,120.0,1850.0,3,6486.486486486487,12000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1730,3.0,1.0,95.0,1730.0,3,5491.329479768786,9500000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,,1817,3.0,2.0,110.0,1817.0,3,6053.935057787562,11000000.0
Super built-up  Area,18-Mar,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,77.0,1225.0,2,6285.714285714285,7700000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1285,2.0,1.0,78.0,1285.0,2,6070.038910505837,7800000.0
Super built-up  Area,18-Dec,Haralur Road,2 BHK,SNnia E,1225,2.0,1.0,69.84,1225.0,2,5701.224489795918,6984000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,DSimaUl,1315,2.0,1.0,85.0,1315.0,2,6463.878326996198,8500000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,2.0,75.0,1300.0,2,5769.2307692307695,7500000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1309,2.0,1.0,82.0,1309.0,2,6264.323911382735,8200000.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2.0,1.0,75.0,1300.0,2,5769.2307692307695,7500000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,Ozensve,1255,3.0,1.0,90.0,1255.0,3,7171.314741035857,9000000.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1735,3.0,2.0,97.0,1735.0,3,5590.778097982709,9700000.0
Super built-up  Area,18-Dec,Haralur Road,3 BHK,SNnia E,1810,3.0,2.0,97.83,1810.0,3,5404.972375690608,9783000.0
Super built-up  Area,18-Feb,Haralur Road,3 BHK,SNnia E,1810,3.0,2.0,112.0,1810.0,3,6187.845303867403,11200000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,135.0,1752.12,3,7704.951715635916,13500000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1709,3.0,2.0,150.0,1709.0,3,8777.062609713283,15000000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,69.0,1174.0,2,5877.342419080068,6900000.0
Built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,84.0,1197.0,2,7017.543859649123,8400000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1757,3.0,2.0,132.0,1757.0,3,7512.805919180421,13200000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,76.0,1174.0,2,6473.594548551959,7600000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3.0,2.0,125.0,1754.0,3,7126.567844925884,12500000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,85.0,1290.0,2,6589.147286821705,8500000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,116.0,1752.12,3,6620.551103805676,11600000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1754,3.0,2.0,135.0,1754.0,3,7696.693272519954,13500000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3.0,2.0,124.0,1754.0,3,7069.555302166476,12400000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1152,2.0,2.0,69.0,1152.0,2,5989.583333333333,6900000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,87.0,1290.0,2,6744.186046511628,8700000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1749,3.0,2.0,115.0,1749.0,3,6575.18582046884,11500000.0
Built-up  Area,18-Feb,Harlur,4 Bedroom,,3385,4.0,,260.0,3385.0,4,7680.945347119646,26000000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,2240,5.0,2.0,155.0,2240.0,3,6919.642857142857,15500000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1758,3.0,2.0,133.0,1758.0,3,7565.415244596132,13300000.0
Super built-up  Area,Ready To Move,Harlur,4 BHK,Zonce E,1884,4.0,2.0,120.0,1884.0,4,6369.426751592357,12000000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,79.0,1197.0,2,6599.832915622389,7900000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,78.0,1174.0,2,6643.9522998296425,7800000.0
Built-up  Area,Ready To Move,Harlur,3 BHK,,1730,3.0,2.0,100.0,1730.0,3,5780.346820809248,10000000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2138,3.0,2.0,110.0,2138.0,3,5144.9953227315245,11000000.0
Super built-up  Area,17-Jun,Harlur,2 BHK,Prncyrn,1197,2.0,1.0,79.0,1197.0,2,6599.832915622389,7900000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1749,3.0,2.0,112.0,1749.0,3,6403.659233847913,11200000.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,75.0,1174.0,2,6388.415672913117,7500000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1750,3.0,2.0,136.0,1750.0,3,7771.428571428572,13600000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Shodsir,1620,3.0,1.0,110.0,1620.0,3,6790.123456790124,11000000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,Zonce E,1414,3.0,2.0,77.5,1414.0,3,5480.905233380481,7750000.0
Super built-up  Area,18-Jul,Harlur,3 BHK,Shodsir,1630,3.0,1.0,95.1,1630.0,3,5834.355828220859,9510000.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1762,3.0,2.0,133.0,1762.0,3,7548.240635641317,13300000.0
